DNI,Nom,Cognoms,Nom complet,Nacimiento España,País d'origen,Ciutat,Dia,Mes,Any,Gènere,Salari mensual,Fills,Grup Professional,Naixement,Edat,Increment
81398413Q,Laura,Castro Torres,Laura Castro Torres,No,Colòmbia,Medellín,6,6,1997,Dona,1488.33,No,Grup B,1997-06-06,29,0.035
57692936L,Laura,Schmidt,Laura Schmidt,No,Alemanya,Hamburg,3,5,1956,,1891.98,Sí,Grup B,1956-05-03,70,0.035
17135791L,Toni,Romero García,Toni Romero García,Sí,Espanya,Barcelona,12,6,1963,Home,1653.93,No,Grup B,1963-06-12,63,0.035
13357124H,Arnau,Martínez Martínez,Arnau Martínez Martínez,Sí,Espanya,Sevilla,6,12,1960,Home,1851.615,No,Grup B,1960-12-06,65,0.035
53653173V,Anna,López,Anna López,Sí,Espanya,Madrid,17,1,1964,Altres,1348.605,No,Grup B,1964-01-17,62,0.035
15138029Q,Marc,Castells,Marc Castells,Sí,Espanya,Bilbao,16,12,2002,Home,2206.62,No,Grup B,2002-12-16,23,0.035
53822006D,Ali,El Amrani El Amrani,Ali El Amrani El Amrani,No,Marroc,Rabat,4,5,1971,Home,2201.445,No,Grup B,1971-05-04,55,0.035
18876694Z,Juan,Álvarez Fernández,Juan Álvarez Fernández,No,Argentina,Buenos Aires,11,8,1991,Home,1461.42,Sí,Grup B,1991-08-11,34,0.035
78668978W,Pau,Sánchez,Pau Sánchez,Sí,Espanya,Bilbao,20,5,1994,Home,2252.16,Sí,Grup B,1994-05-20,32,0.035
51927396G,Maria,Pereira Pereira,Maria Pereira Pereira,No,Portugal,Porto,19,6,1980,Dona,1730.52,No,Grup B,1980-06-19,46,0.035
49846108N,Joan,Romero López,Joan Romero López,Sí,Espanya,Barcelona,11,1,1950,Home,2051.37,Sí,Grup B,1950-01-11,76,0.035
46129359E,Laia,Castells Martínez,Laia Castells Martínez,Sí,Espanya,Madrid,8,4,1975,Dona,1492.47,No,Grup B,1975-04-08,51,0.035
19814204M,Marta,García,Marta García,Sí,Espanya,Bilbao,23,2,1999,Dona,1635.3,Sí,Grup B,1999-02-23,27,0.035
46035899S,Marc,Romero,Marc Romero,Sí,Espanya,Sevilla,2,11,1975,Home,1623.915,No,Grup B,1975-11-02,50,0.035
38832908L,Arnau,Martínez,Arnau Martínez,Sí,Espanya,Madrid,20,12,1999,Home,2173.5,No,Grup B,1999-12-20,26,0.035
11156851X,Carla,Sánchez,Carla Sánchez,Sí,Espanya,València,17,8,1975,Dona,1560.78,Sí,Grup B,1975-08-17,50,0.035
61239482R,Eva,López Sánchez,Eva López Sánchez,Sí,Espanya,València,25,4,1987,Dona,2159.01,No,Grup B,1987-04-25,39,0.035
71461971W,Lucas,Álvarez,Lucas Álvarez,No,Argentina,Buenos Aires,22,3,1984,Home,1728.45,No,Grup B,1984-03-22,42,0.035
31958336Z,Núria,Martínez Castells,Núria Martínez Castells,Sí,Espanya,Sevilla,8,12,1962,Dona,1345.5,No,Grup B,1962-12-08,63,0.035
19508494Q,Jonas,Schneider Schmidt,Jonas Schneider Schmidt,No,Alemanya,Hamburg,15,8,1983,Home,1527.66,Sí,Grup B,1983-08-15,42,0.035
32873655H,Pau,Martínez García,Pau Martínez García,Sí,Espanya,Barcelona,15,11,1989,Home,2332.89,No,Grup B,1989-11-15,36,0.035
74293523P,Sofia,Oliveira,Sofia Oliveira,No,Portugal,Lisboa,2,4,1998,Dona,2076.21,No,Grup B,1998-04-02,28,0.035
49127195L,Beatriz,Ferreira,Beatriz Ferreira,No,Portugal,Porto,11,5,1950,Altres,1629.09,Sí,Grup B,1950-05-11,76,0.035
17792481K,Joan,Romero Martínez,Joan Romero Martínez,Sí,Espanya,Bilbao,16,2,1996,Home,1913.715,No,Grup B,1996-02-16,30,0.035
81156988L,Miguel,González Cruz,Miguel González Cruz,No,Mèxic,Ciutat de Mèxic,7,8,1965,Home,2122.785,No,Grup B,1965-08-07,60,0.035
60352406T,Eva,Martínez,Eva Martínez,Sí,Espanya,Madrid,13,6,1994,Dona,1189.215,No,Grup B,1994-06-13,32,0.035
66192865D,Carla,Romero,Carla Romero,Sí,Espanya,Barcelona,17,6,1998,Dona,1847.475,Sí,Grup B,1998-06-17,28,0.035
82495492K,Jordi,García Castells,Jordi García Castells,Sí,Espanya,València,4,7,1970,Home,1912.68,Sí,Grup B,1970-07-04,56,0.035
77255461X,Maria,Ferreira Ferreira,Maria Ferreira Ferreira,No,Portugal,Porto,4,3,1996,Dona,1962.36,Sí,Grup B,1996-03-04,30,0.035
50017849P,Núria,Martínez,Núria Martínez,Sí,Espanya,València,26,9,1958,Dona,1978.92,No,Grup B,1958-09-26,67,0.035
14532429J,Jean,Dubois Moreau,Jean Dubois Moreau,No,França,Marsella,7,12,1967,Home,2008.935,No,Grup B,1967-12-07,58,0.035
48928716V,Eva,Ferrer,Eva Ferrer,Sí,Espanya,Madrid,22,5,1997,Dona,1268.91,No,Grup B,1997-05-22,29,0.035
20554785E,Andrés,González,Andrés González,No,Mèxic,Guadalajara,13,10,1977,Home,1794.69,No,Grup B,1977-10-13,48,0.035
96850216C,Valentina,Gutiérrez Rojas,Valentina Gutiérrez Rojas,No,Colòmbia,Medellín,2,10,1959,Dona,1788.48,Sí,Grup B,1959-10-02,66,0.035
21123762J,Toni,Sánchez Sánchez,Toni Sánchez Sánchez,Sí,Espanya,València,20,1,1989,Home,2373.255,No,Grup B,1989-01-20,37,0.035
87203712F,Arnau,Martínez Sánchez,Arnau Martínez Sánchez,Sí,Espanya,Barcelona,20,6,1971,Home,1421.055,No,Grup B,1971-06-20,55,0.035
94864855F,Toni,Sánchez,Toni Sánchez,Sí,Espanya,Madrid,6,3,1996,Home,2123.82,No,Grup B,1996-03-06,30,0.035
83942911L,Oriol,Romero López,Oriol Romero López,Sí,Espanya,Bilbao,3,5,1951,Home,2117.61,No,Grup B,1951-05-03,75,0.035
49962478C,Sofia,Silva Oliveira,Sofia Silva Oliveira,No,Portugal,Lisboa,13,8,1977,,1499.715,No,Grup B,1977-08-13,48,0.035
49561814F,Tomás,Gómez,Tomás Gómez,No,Argentina,Buenos Aires,3,10,1972,Home,1506.96,No,Grup B,1972-10-03,53,0.035
41288932T,Carla,Castells,Carla Castells,Sí,Espanya,Barcelona,24,10,1962,Dona,1291.68,Sí,Grup B,1962-10-24,63,0.035
54906134P,Laia,López,Laia López,Sí,Espanya,Madrid,15,10,1978,Dona,1497.645,Sí,Grup B,1978-10-15,47,0.035
42177426S,Giovanni,Ferrari,Giovanni Ferrari,No,Itàlia,Torí,8,2,1964,Home,1519.38,No,Grup B,1964-02-08,62,0.035
70317853J,Núria,Romero,Núria Romero,Sí,Espanya,Barcelona,24,12,1970,Dona,2006.865,No,Grup B,1970-12-24,55,0.035
48918423X,Arnau,Ferrer Romero,Arnau Ferrer Romero,Sí,Espanya,Madrid,2,7,1975,Home,2272.86,No,Grup B,1975-07-02,51,0.035
58423324H,Núria,Castells Ferrer,Núria Castells Ferrer,Sí,Espanya,Sevilla,13,10,2005,Dona,2130.03,No,Grup B,2005-10-13,20,0.035
30532432L,Matías,Rodríguez Gómez,Matías Rodríguez Gómez,No,Argentina,Buenos Aires,28,9,1957,Home,1514.205,Sí,Grup B,1957-09-28,68,0.035
25178167X,Laia,Sánchez,Laia Sánchez,Sí,Espanya,Barcelona,27,1,1965,Dona,1941.66,Sí,Grup B,1965-01-27,61,0.035
19039929Q,Matías,Álvarez,Matías Álvarez,No,Argentina,Còrdova,24,8,1954,Home,1745.01,Sí,Grup B,1954-08-24,71,0.035
73118029L,Florencia,Gómez Fernández,Florencia Gómez Fernández,No,Argentina,Còrdova,12,7,1992,Dona,1288.575,No,Grup B,1992-07-12,33,0.035
65314666K,Marta,Sánchez Romero,Marta Sánchez Romero,Sí,Espanya,Barcelona,5,6,1993,Dona,1366.2,No,Grup B,1993-06-05,33,0.035
98834273R,Pau,Romero Martínez,Pau Romero Martínez,Sí,Espanya,Barcelona,16,9,1974,Home,1814.355,No,Grup B,1974-09-16,51,0.035
97687146Q,Gabriela,González Cruz,Gabriela González Cruz,No,Mèxic,Ciutat de Mèxic,20,2,1985,,1638.405,No,Grup B,1985-02-20,41,0.035
90364828E,Laia,Castells,Laia Castells,Sí,Espanya,Bilbao,23,4,1998,Dona,1850.58,Sí,Grup B,1998-04-23,28,0.035
16082109P,Clara,López,Clara López,Sí,Espanya,Madrid,12,5,1989,Dona,1449.0,No,Grup B,1989-05-12,37,0.035
26631271T,Laia,Sánchez,Laia Sánchez,Sí,Espanya,Bilbao,19,5,1970,Altres,2056.545,Sí,Grup B,1970-05-19,56,0.035
73326255V,João,Silva,João Silva,No,Portugal,Porto,23,10,1970,Home,2053.44,Sí,Grup B,1970-10-23,55,0.035
83613978F,Antoine,Lefevre Girard,Antoine Lefevre Girard,No,França,Marsella,22,12,1981,Home,1676.7,Sí,Grup B,1981-12-22,44,0.035
51525932J,Michel,Moreau,Michel Moreau,No,França,Marsella,27,6,1978,Home,2157.975,Sí,Grup B,1978-06-27,48,0.035
44026048T,Joan,López,Joan López,Sí,Espanya,València,15,10,1982,Home,2370.15,No,Grup B,1982-10-15,43,0.035
43409433Y,Marta,López López,Marta López López,Sí,Espanya,Sevilla,24,2,1986,Dona,1337.22,No,Grup B,1986-02-24,40,0.035
32095971T,Laia,López López,Laia López López,Sí,Espanya,València,8,5,1962,Dona,1281.33,Sí,Grup B,1962-05-08,64,0.035
82936531F,Pau,López Martínez,Pau López Martínez,Sí,Espanya,Sevilla,17,12,1958,Home,1458.315,No,Grup B,1958-12-17,67,0.035
20049413F,Eva,López Ferrer,Eva López Ferrer,Sí,Espanya,Bilbao,24,12,1952,Dona,2086.56,No,Grup B,1952-12-24,73,0.035
47702024A,Clara,García Ferrer,Clara García Ferrer,Sí,Espanya,Barcelona,10,10,1956,Dona,2055.51,No,Grup B,1956-10-10,69,0.035
47853239E,Núria,López,Núria López,Sí,Espanya,Sevilla,14,4,1969,Dona,1848.51,No,Grup B,1969-04-14,57,0.035
73130661B,Clara,Martínez Romero,Clara Martínez Romero,Sí,Espanya,València,1,10,1975,Dona,2047.23,Sí,Grup B,1975-10-01,50,0.035
93384627N,Camille,Moreau Moreau,Camille Moreau Moreau,No,França,Lió,16,7,1993,Dona,2030.67,No,Grup B,1993-07-16,32,0.035
25490219L,William,Smith Smith,William Smith Smith,No,Regne Unit,Londres,1,12,1952,Home,1700.505,Sí,Grup B,1952-12-01,73,0.035
41625678H,Arnau,Romero,Arnau Romero,Sí,Espanya,Bilbao,18,11,1967,Home,1755.36,No,Grup B,1967-11-18,58,0.035
83262533Z,Jordi,Martínez Ferrer,Jordi Martínez Ferrer,Sí,Espanya,València,17,6,1950,Home,2360.835,Sí,Grup B,1950-06-17,76,0.035
41326173T,Laia,Martínez,Laia Martínez,Sí,Espanya,Madrid,9,9,1977,Dona,2124.855,No,Grup B,1977-09-09,48,0.035
81124534E,Oriol,Sánchez,Oriol Sánchez,Sí,Espanya,Sevilla,1,4,1969,Home,1472.805,No,Grup B,1969-04-01,57,0.035
22914113G,Laia,Sánchez Sánchez,Laia Sánchez Sánchez,Sí,Espanya,València,25,9,1995,,1403.46,No,Grup B,1995-09-25,30,0.035
43658248F,Daniela,Castro,Daniela Castro,No,Colòmbia,Bogotà,9,3,1980,Dona,1728.45,Sí,Grup B,1980-03-09,46,0.035
15277702T,Toni,Castells,Toni Castells,Sí,Espanya,Bilbao,25,7,1966,Home,2206.62,No,Grup B,1966-07-25,59,0.035
96925654W,Rui,Oliveira Silva,Rui Oliveira Silva,No,Portugal,Lisboa,25,8,1992,Home,1727.415,No,Grup B,1992-08-25,33,0.035
65476112E,Marta,Romero Romero,Marta Romero Romero,Sí,Espanya,Sevilla,24,9,1991,Dona,1687.05,No,Grup B,1991-09-24,34,0.035
87991679M,Anna,Ferrer,Anna Ferrer,Sí,Espanya,Barcelona,25,11,1967,Dona,1457.28,No,Grup B,1967-11-25,58,0.035
67762046W,Chloé,Moreau,Chloé Moreau,No,França,Lió,21,2,1989,Dona,1491.435,No,Grup B,1989-02-21,37,0.035
90958057L,Joan,Sánchez,Joan Sánchez,Sí,Espanya,Bilbao,13,12,1974,Altres,1880.595,No,Grup B,1974-12-13,51,0.035
99565242W,Joan,Sánchez Sánchez,Joan Sánchez Sánchez,Sí,Espanya,Madrid,28,7,2005,,1482.12,No,Grup B,2005-07-28,20,0.035
49176508C,Pau,García López,Pau García López,Sí,Espanya,Sevilla,22,8,1996,Home,1395.18,Sí,Grup B,1996-08-22,29,0.035
20335877M,Arnau,García Ferrer,Arnau García Ferrer,Sí,Espanya,València,20,1,1951,Home,2116.575,No,Grup B,1951-01-20,75,0.035
83539759S,Marta,López,Marta López,Sí,Espanya,Barcelona,4,6,2002,Dona,1210.95,Sí,Grup B,2002-06-04,24,0.035
95031765F,Anna,López Sánchez,Anna López Sánchez,Sí,Espanya,Barcelona,19,9,1963,Dona,1494.54,Sí,Grup B,1963-09-19,62,0.035
87757452L,Marc,Romero,Marc Romero,Sí,Espanya,Barcelona,16,8,1986,Home,1721.205,No,Grup B,1986-08-16,39,0.035
44065719N,Pau,Ferrer Ferrer,Pau Ferrer Ferrer,Sí,Espanya,València,9,11,1991,Home,1444.86,Sí,Grup B,1991-11-09,34,0.035
50496524Y,Alessia,Russo Russo,Alessia Russo Russo,No,Itàlia,Roma,14,2,1983,Dona,1405.53,No,Grup B,1983-02-14,43,0.035
40194783Y,Núria,Sánchez García,Núria Sánchez García,Sí,Espanya,Madrid,14,1,1966,Dona,2027.565,Sí,Grup B,1966-01-14,60,0.035
28196940Z,Michel,Moreau,Michel Moreau,No,França,Lió,12,12,1992,Home,2072.07,Sí,Grup B,1992-12-12,33,0.035
98801519G,Jordi,García,Jordi García,Sí,Espanya,Bilbao,11,1,1970,Home,1757.43,Sí,Grup B,1970-01-11,56,0.035
92775120P,Joan,López Castells,Joan López Castells,Sí,Espanya,Barcelona,1,4,1984,,1609.425,Sí,Grup B,1984-04-01,42,0.035
58632182Z,Laia,Romero,Laia Romero,Sí,Espanya,Sevilla,16,11,1962,Dona,1253.385,Sí,Grup B,1962-11-16,63,0.035
32149349F,Marta,Romero,Marta Romero,Sí,Espanya,Bilbao,25,7,1973,Dona,1887.84,No,Grup B,1973-07-25,52,0.035
17088262F,Eva,Sánchez,Eva Sánchez,Sí,Espanya,València,18,2,1971,Dona,2160.045,No,Grup B,1971-02-18,55,0.035
72513763X,Núria,Romero López,Núria Romero López,Sí,Espanya,Bilbao,15,6,1999,,1693.26,Sí,Grup B,1999-06-15,27,0.035
24881645Q,Toni,Sánchez,Toni Sánchez,Sí,Espanya,Bilbao,26,9,1992,Home,1405.53,No,Grup B,1992-09-26,33,0.035
63182449W,Jordi,Romero,Jordi Romero,Sí,Espanya,Barcelona,12,12,1950,Home,2331.855,Sí,Grup B,1950-12-12,75,0.035
69079699D,Marc,Martínez,Marc Martínez,Sí,Espanya,Bilbao,7,7,1988,Home,2033.775,No,Grup B,1988-07-07,37,0.035
90985453R,Pau,Ferrer,Pau Ferrer,Sí,Espanya,Madrid,24,11,1997,Home,2300.805,No,Grup B,1997-11-24,28,0.035
11119181K,Arnau,Ferrer,Arnau Ferrer,Sí,Espanya,Bilbao,20,5,1961,Home,1392.075,No,Grup B,1961-05-20,65,0.035
51235097D,Oriol,Martínez López,Oriol Martínez López,Sí,Espanya,Barcelona,24,6,1980,Home,2136.24,No,Grup B,1980-06-24,46,0.035
23333032N,Oriol,Martínez,Oriol Martínez,Sí,Espanya,València,21,12,1986,Home,1826.775,No,Grup B,1986-12-21,39,0.035
91233007A,Joan,García,Joan García,Sí,Espanya,Sevilla,23,3,2003,,1651.86,Sí,Grup B,2003-03-23,23,0.035
55212704B,Pau,Martínez Romero,Pau Martínez Romero,Sí,Espanya,Barcelona,26,7,1986,Home,1799.865,No,Grup B,1986-07-26,39,0.035
23763581C,Arnau,García Ferrer,Arnau García Ferrer,Sí,Espanya,Barcelona,1,6,1979,Home,1776.06,Sí,Grup B,1979-06-01,47,0.035
75347458Q,Toni,Martínez,Toni Martínez,Sí,Espanya,Bilbao,25,12,1974,Home,1398.285,No,Grup B,1974-12-25,51,0.035
54347378D,Giulia,Russo,Giulia Russo,No,Itàlia,Torí,14,6,2005,Dona,1447.965,Sí,Grup B,2005-06-14,21,0.035
24140397D,Oriol,Sánchez,Oriol Sánchez,Sí,Espanya,Bilbao,11,9,1989,Home,2189.025,Sí,Grup B,1989-09-11,36,0.035
89195587K,Carla,López Martínez,Carla López Martínez,Sí,Espanya,Madrid,14,10,1962,Altres,1603.215,No,Grup B,1962-10-14,63,0.035
18457585L,Anna,Ferrer Sánchez,Anna Ferrer Sánchez,Sí,Espanya,Barcelona,25,8,1965,,1487.295,Sí,Grup B,1965-08-25,60,0.035
12559305B,Núria,García Ferrer,Núria García Ferrer,Sí,Espanya,Bilbao,11,4,1982,Dona,1819.53,Sí,Grup B,1982-04-11,44,0.035
29153728J,Joan,Romero García,Joan Romero García,Sí,Espanya,València,4,3,1956,Home,2293.56,No,Grup B,1956-03-04,70,0.035
34370425H,Oriol,Ferrer,Oriol Ferrer,Sí,Espanya,Madrid,2,4,1974,Home,1370.34,Sí,Grup B,1974-04-02,52,0.035
50261072D,Sophie,Taylor Smith,Sophie Taylor Smith,No,Regne Unit,Londres,26,12,2005,Dona,1721.205,No,Grup B,2005-12-26,20,0.035
43414375Y,Joan,López,Joan López,Sí,Espanya,València,28,3,1995,Home,2227.32,No,Grup B,1995-03-28,31,0.035
21977779F,Valentina,Torres Rojas,Valentina Torres Rojas,No,Colòmbia,Medellín,22,10,1957,Dona,1491.435,No,Grup B,1957-10-22,68,0.035
20428037K,Anna,García,Anna García,Sí,Espanya,València,22,11,1976,Dona,1605.285,Sí,Grup B,1976-11-22,49,0.035
95842086Q,Anna,López López,Anna López López,Sí,Espanya,València,7,7,1988,Dona,1375.515,Sí,Grup B,1988-07-07,37,0.035
12935907W,Pau,Ferrer García,Pau Ferrer García,Sí,Espanya,Barcelona,21,6,1990,Home,1510.065,Sí,Grup B,1990-06-21,36,0.035
23385179B,Florencia,Fernández,Florencia Fernández,No,Argentina,Còrdova,14,10,1979,Dona,1251.315,No,Grup B,1979-10-14,46,0.035
56402346W,Carlos,Ramírez,Carlos Ramírez,No,Mèxic,Guadalajara,21,3,1959,Home,1516.275,Sí,Grup B,1959-03-21,67,0.035
21159286B,Anna,García,Anna García,Sí,Espanya,Barcelona,22,12,1999,Dona,1553.535,No,Grup B,1999-12-22,26,0.035
48597672J,Toni,Romero Romero,Toni Romero Romero,Sí,Espanya,Madrid,15,2,1984,Altres,1819.53,Sí,Grup B,1984-02-15,42,0.035
86656444H,Salma,Zahraoui,Salma Zahraoui,No,Marroc,Casablanca,18,4,1999,Dona,1213.02,No,Grup B,1999-04-18,27,0.035
46192881X,Eva,Martínez López,Eva Martínez López,Sí,Espanya,Barcelona,11,4,1958,Dona,1397.25,No,Grup B,1958-04-11,68,0.035
85620401P,Rui,Silva Silva,Rui Silva Silva,No,Portugal,Lisboa,6,5,1958,Home,1311.345,No,Grup B,1958-05-06,68,0.035
13600054Y,Carla,Romero,Carla Romero,Sí,Espanya,Madrid,18,3,1964,Dona,1736.73,Sí,Grup B,1964-03-18,62,0.035
43630705N,Laia,Ferrer,Laia Ferrer,Sí,Espanya,Barcelona,2,2,1953,Dona,1441.755,Sí,Grup B,1953-02-02,73,0.035
88020602R,Toni,Romero,Toni Romero,Sí,Espanya,Barcelona,23,8,2001,Home,2263.545,No,Grup B,2001-08-23,24,0.035
47075714S,Marta,López,Marta López,Sí,Espanya,Madrid,13,3,1999,Dona,1227.51,No,Grup B,1999-03-13,27,0.035
22942395H,Carla,Ferrer Martínez,Carla Ferrer Martínez,Sí,Espanya,València,3,5,1992,Dona,1773.99,No,Grup B,1992-05-03,34,0.035
44074013Q,Toni,Sánchez,Toni Sánchez,Sí,Espanya,Madrid,13,3,1976,,1777.095,Sí,Grup B,1976-03-13,50,0.035
25161375F,Marta,Ferrer Ferrer,Marta Ferrer Ferrer,Sí,Espanya,Sevilla,1,6,1951,Dona,1258.56,No,Grup B,1951-06-01,75,0.035
